"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22102","[Chi tiết sản phẩm] [Toàn bộ trang] So sánh Figma ↔ Web","Desktop Chrome","2026-08-06","failed","2026-08-06","Desktop UI Visual Tests","ui/uiDesktopVisual.spec.ts","",""
"","57842","Add product successfully and verify on website","Desktop Chrome","2026-08-06","passed","2026-08-06","Product Management Tests","admin/product.spec.ts","",""
"","11094","Search should handle từ khóa chỉ có 1 khoảng trắng","Desktop Chrome","2026-08-06","failed","2026-08-06","Search Feature Tests","web/search.spec.ts","",""
"","6580","Submit form should fail with sai định dạng email","Desktop Chrome","2026-08-06","passed","2026-08-06","Contract Feature Tests","web/contract.spec.ts","",""
"","617109","Bulk insert 35 Service Category 1 manually and verify Load More on website","Desktop Chrome","2026-08-06","failed","2026-08-06","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"[PASS] Điểm SEO: 82/100 | Đạt: 18/22 tiêu chí | Ngưỡng: 70%

TỐT","77083","Kiểm tra SEO Onpage: Hệ thống âm thanh (/he-thong-am-thanh)","Desktop Chrome","2026-08-06","passed","2026-08-06","SEO Page","seo/seo.spec.ts","",""
"","6742","Login should fail with bỏ trống mật khẩu","Desktop Chrome","2026-08-06","passed","2026-08-06","Admin Login Feature Tests","admin/adminLogin.spec.ts","",""
"","4","[Chi tiết sản phẩm] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-06","failed","2026-08-06","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","9273","Submit form should fail with nhập toàn khoảng trắng","Desktop Chrome","2026-08-06","failed","2026-08-06","Contract Feature Tests","web/contract.spec.ts","",""
"","24298","Add Service Category 1 should fail with không nhập tiêu đề","Desktop Chrome","2026-08-06","passed","2026-08-06","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","6956","Submit form should fail with số điện thoại chứa chữ cái","Desktop Chrome","2026-08-06","passed","2026-08-06","Contract Feature Tests","web/contract.spec.ts","",""
"","3","[Trang chủ] [Toàn bộ trang] Đánh giá trên Mobile","Mobile","2026-08-06","failed","2026-08-06","Mobile UI Tests","ui/uiMobile.spec.ts","",""
"","54585","Add Service Category 1 successfully and verify on website","Desktop Chrome","2026-08-06","passed","2026-08-06","Service Category 1 Management Tests","admin/serviceCategory1.spec.ts","",""
"","49657","Add project successfully and verify on website","Desktop Chrome","2026-08-06","passed","2026-08-06","Project Management Tests","admin/project.spec.ts","",""
"","24839","Add project should fail with không nhập tiêu đề","Desktop Chrome","2026-08-06","passed","2026-08-06","Project Management Tests","admin/project.spec.ts","",""
